text,label,language,scam_type
விற்பனையாளர் கப்பல் அனுப்புவதற்கு முன் 3000 SGD வைப்புத் தொகையைச் செலுத்த வேண்டும். உடனடி நடவடிக்கை தேவை.,1,ta,ecommerce
"Dana bantuan segera, sumbangan SGD 5000 diperlukan hari ini.",1,ms,charity
"உரிமம் பெற்ற கடன் வழங்குநர், 1000 SGD கடன், குறைந்த வட்டி, உங்கள் கணக்கு முடக்கப்படும்.",1,ta,loan
Your order from overseas is held. Pay SGD 3000 to proceed. Failure to act will result in permanent closure.,1,en,parcel_delivery
Food bank running low. Donate SGD 1500 to help families. Your access will be revoked.,1,en,charity
"Last unit sia, SGD 250 only, transfer now.",1,singlish,job_scam
NTUC voucher SGD 1500 unclaimed. Collect before it expires. Respond before midnight.,1,en,prize
வாழ்த்துக்கள். SGD 750 பரிசு உங்களுக்காக காத்திருக்கிறது. உடனடியாக ஆதரவு தொடர்பு.,1,ta,prize
Landlord requires SGD 50 deposit via Facebook. Act now.,1,en,rental
உணவு வங்கி குறைந்து வருகிறது குடும்பங்களுக்கு 1000 SGD நன்கொடை கொடுங்கள். தண்டனை தவிர்க்க இப்போது பதில்.,1,ta,charity
அதிக வருமானம் பெறும் நிதிகளுக்கு குறைந்தபட்சம் 3000 SGD. தண்டனை தவிர்க்க இப்போது பதிலளிக்கவும்.,1,ta,investment
没有要求的NTUC券SGD3000在到期之前收取.,1,zh,prize
SGD 250 ரொக்க பரிசுக்கு நீங்கள் தேர்வு செய்யப்படுகிறீர்கள். உடனடியாக சரிபார்க்கவும்.,1,ta,prize
Your Standard Chartered internet banking requires re-verification. Failure to act will result in permanent closure.,1,en,bank_impersonation
",这是我,留在海外,请发送5000SGD,你会被取消.",1,zh,fake_friend
நீங்கள் ஒரு SGD 50 பண பரிசு தேர்ந்தெடுக்கப்படுகின்றன. உடனடியாக சரிபார்க்கவும்.,1,ta,prize
விற்பனையாளர் 750 SGD டெபாசிட் தேவை கப்பல் அனுப்புவதற்கு முன். நள்ளிரவுக்கு முன் பதில்.,1,ta,ecommerce
"SGD 250 உடன் தொடங்கி, ஒரு அமர்வுக்கு பாசிவ் வருமானம் சம்பாதிக்கவும்.",1,ta,investment
"网上工作可用,每周支付1000SGD,保证.",1,zh,job_scam
மலிவான ஒப்பந்தம் கிடைக்கிறது. பொருளை பாதுகாக்க 750 SGD இப்போது செலுத்துங்கள். உடனடியாக ஆதரவை தொடர்பு கொள்ளவும்.,1,ta,ecommerce
உங்கள் PayNow ஆன்லைன் வங்கி தடுக்கப்பட்டுள்ளது. அடையாளத்தை சரிபார்க்கவும் மீட்டெடுக்க. உடனடியாக ஆதரவு தொடர்பு.,1,ta,phishing
"Survey job leh, 10 mins only, earn SGD 150 per survey.",1,singlish,rental
ஆர்டர் உறுதிப்படுத்தப்பட்டது. SGD 200 வைப்பு செலுத்துங்கள் பொருட்களை விடுவிக்க. தண்டனை தவிர்க்க இப்போது பதில்.,1,ta,ecommerce
Bantuan media sosial sambilan diperlukan dengan segera. Dapatkan SGD 5000 setiap tugas. Tindakan segera diperlukan.,1,ms,job_scam
"Got loan SGD 200 for you liao, claim before expire.",1,singlish,phishing
"உரிமம் பெற்ற கடன் வழங்குநர், 5000 SGD கடன், குறைந்த வட்டி, பதில் அளிக்காதது சட்ட நடவடிக்கைகளை ஏற்படுத்தும்.",1,ta,loan
Sistem Crypto menjamin pengembalian SGD 200 setiap minggu.,1,ms,investment
அவசர நிவாரண நிதி. SGD 100 நன்கொடை இன்று தேவை. உங்கள் விவரங்களை உறுதிப்படுத்த தடையை தவிர்க்க.,1,ta,charity
SGD 200 தனிப்பட்ட கடன் ஒப்புதல். இப்போது சேகரிக்க. உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,loan
"Paket anda tidak boleh dihantar, bayar bayaran SGD 750 untuk penjadwalan semula.",1,ms,parcel_delivery
தொகுப்பு அனுப்புநருக்கு திருப்பி அனுப்பப்பட்டது முகவரி புதுப்பிக்கப்பட்டு SGD 3000 செலுத்தப்படும். உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,parcel_delivery
Package held at customs. SGD 200 clearance fee required. Failure to respond will result in legal action.,1,en,parcel_delivery
Lost my phone. Please send SGD 100 to this new number. Confirm your details to avoid disruption.,1,en,fake_friend
1000 SGD விரைவு கடன் உடனடியாக ஒப்புதல். உங்கள் விவரங்களை உறுதிப்படுத்த தடைகளை தவிர்க்க.,1,ta,loan
அனுபவம் தேவையில்லை. ஆர்டர் செயலாளர் தினமும் SGD 2000 சம்பாதிக்கிறார். உடனடி நடவடிக்கை தேவை.,1,ta,job_scam
"Got loan SGD 1500 for you liao, claim before expire.",1,singlish,investment
"வணக்கம் அம்மா, நான். வெளிநாடுகளில் சிக்கி இருக்கிறேன். SGD 100 அனுப்புங்கள். தயவுசெய்து இணைப்பை கிளிக் செய்யவும்.",1,ta,fake_friend
"Oi Facebook has new part-time job, SGD 750 weekly, easy.",1,singlish,investment
"Got data entry clerk job available, SGD 300 daily, apply now lah.",1,singlish,investment
Pinjaman cepat SGD 50 diluluskan dengan segera. Jangan mengabaikan mesej ini.,1,ms,loan
Exclusive investment group. SGD 1500 entry. Guaranteed returns. Immediate action required.,1,en,investment
"Hi, changed number. This is me. Transfer SGD 1000 urgently. Failure to respond will result in legal action.",1,en,fake_friend
வீட்டில் இருந்து வேலை செய்து வாரத்திற்கு SGD 250 சம்பாதித்து கொள்ளுங்கள்.,1,ta,job_scam
Last unit at this price. Reserve with SGD 250 now. Failure to respond will result in legal action.,1,en,rental
Paket dikembalikan kepada penghantaran. Update alamat dan bayar SGD 100. Jangan mengabaikan mesej ini.,1,ms,parcel_delivery
"Aiyoh parcel returned leh, update address, pay SGD 2000.",1,singlish,loan
Lost my phone. Please send SGD 150 to this new number. Confirm your details to avoid disruption.,1,en,fake_friend
"租房,付3000SGD,不要忽略这个消息.",1,zh,rental
"Last unit at this price leh, pay SGD 250 to reserve.",1,singlish,prize
ஆர்டர் உறுதிப்படுத்தப்பட்டது. SGD 1000 வைப்பு செலுத்துங்கள் பொருட்களை விடுவிக்க.,1,ta,ecommerce
"你的订单从海外保留,付500SGD,然后你的账户将被终止.",1,zh,parcel_delivery
Congratulations! SGD 1000 reward waiting for you. Failure to respond will result in legal action.,1,en,prize
Your PayNow card services is blocked. Verify identity to restore. Your account will be terminated.,1,en,phishing
Dapatkan SGD 200 setiap hari bekerja dari rumah.,1,ms,job_scam
உங்கள் உத்தரவு வெளிநாட்டில் இருந்து வைக்கப்படுகிறது. தொடர SGD 250 செலுத்த. பதில் இல்லாவிட்டால் சட்ட நடவடிக்கைகள் ஏற்படும்.,1,ta,parcel_delivery
"Room very cheap in Punggol, pay deposit SGD 100 first.",1,singlish,bank_impersonation
Last unit at this price. Reserve with SGD 250 now. Do not ignore this message.,1,en,rental
Limited slots for high-yield fund. Minimum SGD 250. Failure to respond will result in legal action.,1,en,investment
"請將200SGD送到新號碼,在24小時內回覆.",1,zh,fake_friend
"否则,您的OCBC账户将被结.",1,zh,bank_impersonation
"Good room in Sengkang, SGD 3000 only, transfer now.",1,singlish,parcel_delivery
"Nombor baru, kecemasan keluarga, transfer SGD 100 melalui Telegram.",1,ms,fake_friend
750 SGD தனிப்பட்ட கடன் ஒப்புதல். இப்போது சேகரிக்க. உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,loan
Bayar SGD 3000 untuk menyimpan unit.,1,ms,rental
"Oi Instagram has new part-time job, SGD 5000 every day, easy.",1,singlish,bank_impersonation
"அரசாங்க இணையதளத்தில் உங்கள் அடையாளத்தை சரிபார்க்கவும், சட்ட நடவடிக்கைகளைத் தவிர்க்கவும்.",1,ta,government_impersonation
sumbangan SGD 3000 melalui Facebook. ini adalah notis terakhir anda.,1,ms,charity
Sumbangkan SGD 50 melalui Signal. Jangan mengabaikan mesej ini.,1,ms,charity
Percubaan akses yang tidak dibenarkan ke akaun Bank Percaya anda.,1,ms,phishing
உங்கள் சிட்டி வங்கி கணக்கில் சந்தேகத்திற்குரிய பரிவர்த்தனை கண்டறியப்பட்டது. உடனடியாக சரிபார்க்கவும்.,1,ta,bank_impersonation
"Aiya so easy one, online reviewer job, earn SGD 1000 from home.",1,singlish,prize
Perkhidmatan setiap hari SGD 1000. Akaun anda akan dihentikan.,1,ms,job_scam
"Telegram task job, earn SGD 5000 every day, very steady.",1,singlish,parcel_delivery
"你是个子,我是个子,请急切转移SGD250",1,zh,fake_friend
"你在幸运抽奖中赢得了3000SGD,现在就报名,你的访问将被取消.",1,zh,prize
"Eh donate lah, SGD 150 via Signal, very easy.",1,singlish,phishing
"Hai ibu, saya, tergelincir di luar negara, kirim SGD 50 tolong.",1,ms,fake_friend
குழந்தைகளுக்கான தொண்டு இயக்கத்திற்கு டெலிகிராம் வழியாக 1000 SGD பங்களிப்பு செய்யுங்கள்.,1,ta,charity
"Hai ibu, saya di luar negara, kirim SGD 750 tolong klik link untuk menyelesaikan.",1,ms,fake_friend
"Eh your prize SGD 500 still unclaimed leh, quickly take.",1,singlish,parcel_delivery
"Got withdrawal at 3am on your Singpass account sia, faster check.",1,singlish,bank_impersonation
உங்கள் உத்தரவு வெளிநாட்டில் இருந்து வைக்கப்படுகிறது. தொடர SGD 750 செலுத்த. நடவடிக்கை எடுக்காவிட்டால் நிரந்தரமாக மூடப்படும்.,1,ta,parcel_delivery
Tolong hantar SGD 5000 ke nombor baru ini.,1,ms,fake_friend
அவசர நிவாரண நிதி. SGD 150 நன்கொடை இன்று தேவை. தண்டனை தவிர்க்க இப்போது பதில்.,1,ta,charity
IRAS tax discrepancy found in your account. Pay SGD 1000 now. This is your final notice.,1,en,government_impersonation
Your OCBC account will be frozen unless you verify. Respond before midnight.,1,en,bank_impersonation
没有索赔的NTUC券SGD300. 收取在它到期之前.,1,zh,prize
Limited stock sale. SGD 2000 உடனடியாக மாற்றவும். தண்டனை தவிர்க்க இப்போது பதில்.,1,ta,ecommerce
You won SGD 1500 in the lucky draw. Claim now. Confirm your details to avoid disruption.,1,en,prize
வெளிநாடுகளில் இருந்து உங்கள் ஆர்டர் வைக்கப்பட்டுள்ளது. SGD 500 செலுத்துங்கள். உடனடியாக ஆதரவை தொடர்பு கொள்ளவும்.,1,ta,parcel_delivery
"Oi Line has new part-time job, SGD 1500 weekly, easy.",1,singlish,bank_impersonation
ஃபிளாஷ் விற்பனை இன்று இரவில் முடிகிறது. SGD 2000 செலுத்துங்கள் விலை பூட்டுவதற்கு. உங்கள் விவரங்களை உறுதிப்படுத்தவும் இடையூறுகளை தவிர்க்க.,1,ta,ecommerce
Urgent relief fund. SGD 5000 donation needed today. Reply now to avoid penalty.,1,en,charity
"Aiyoh help lah, SGD 3000 only, change someone's life.",1,singlish,investment
您被选为SGD3000现金奖金.这是您的最后通知.,1,zh,prize
"Nombor baru, kecemasan keluarga, transfer SGD 150 melalui Facebook.",1,ms,fake_friend
உங்கள் CPF கணக்கு அணுகல் மறு சரிபார்ப்பு தேவை. உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,bank_impersonation
Room available in SG. Pay SGD 500 deposit immediately. Immediate action required.,1,en,rental
"独家投资集团,SGD3000入口,保证回报.",1,zh,investment
"家庭紧急情况,通过Facebook转移100SGD.",1,zh,fake_friend
Licensed moneylender. SGD 3000 loan. Low interest. Respond before midnight.,1,en,loan
100 SGD முதலீடு செய்து 30 நாட்களில் உங்கள் பணத்தை இரட்டிப்பாக்குங்கள். இந்த செய்தியை புறக்கணிக்காதீர்கள்.,1,ta,investment
Your parcel cannot be delivered. Pay SGD 200 fee to reschedule. Verify immediately.,1,en,parcel_delivery
உங்கள் PayNow கணக்கு செயலிழந்துவிட்டது. உங்கள் விவரங்களை உறுதிப்படுத்தவும் இடையூறுகளை தவிர்க்க.,1,ta,phishing
உங்கள் உத்தரவு வெளிநாட்டில் இருந்து வைக்கப்படுகிறது. SGD 250 செலுத்த தொடர. நடவடிக்கை இல்லாவிட்டால் நிரந்தரமாக மூடப்படும்.,1,ta,parcel_delivery
New number. Family emergency. Transfer SGD 150 via Instagram. Reply now to avoid penalty.,1,en,fake_friend
"ஹாய் அம்மா, நான். வெளிநாடுகளில் சிக்கி இருக்கிறேன். SGD 1000 அனுப்புங்கள். உங்கள் அணுகல் திரும்பப் பெறப்படும்.",1,ta,fake_friend
உங்கள் கணக்கில் ஐஆர்ஏஎஸ் வரி வித்தியாசம் காணப்பட்டது. SGD 100 இப்போது செலுத்துங்கள். நடவடிக்கை எடுக்காவிட்டால் நிரந்தரமாக மூடப்படும்.,1,ta,government_impersonation
官方政府通知:必须立即采取行动.,1,zh,government_impersonation
"Room available, very cheap leh, pay SGD 3000 to chope.",1,singlish,rental
Your CPF account has been deactivated. Failure to act will result in permanent closure.,1,en,phishing
Part-time content moderator needed urgently. Earn SGD 2000 daily. Failure to respond will result in legal action.,1,en,job_scam
Last unit at this price. Reserve with SGD 150 now. Respond within 24 hours.,1,en,rental
"Hi Mum, it's me. Stuck overseas. Send SGD 50 please. Reply now to avoid penalty.",1,en,fake_friend
"Uncle already earn SGD 300 liao, you try also lah.",1,singlish,job_scam
"Work from home lah, earn SGD 100 per session, very easy one.",1,singlish,investment
"限额的高收益基金,最低3000SGD.",1,zh,investment
您的Singpass账户发现了可疑的登录.这是您的最后通知.,1,zh,bank_impersonation
Cheap rental. Transfer SGD 750 booking fee now to reserve. Contact support immediately.,1,en,rental
NTUC வவுச்சர் SGD 1500 கோரப்படாதது. அது காலாவதியாகும் முன் சேகரிக்கவும். உடனடியாக ஆதரவை தொடர்பு கொள்ளவும்.,1,ta,prize
Crypto scheme guarantees SGD 200 returns weekly. Failure to respond will result in legal action.,1,en,investment
"现在就拿到3000SGD,你会被取消.",1,zh,loan
"புதிய எண், குடும்ப அவசரநிலை, Instagram வழியாக SGD 1500 பரிமாற்றம் உங்கள் கணக்கு முடக்கப்படும்.",1,ta,fake_friend
Tiada pengalaman diperlukan. pegawai kemasukan data mendapat SGD 300 setiap hari.,1,ms,job_scam
சமூக ஊடக உதவி வேலையுடன் கூடிய பகுதிநேர உதவி அவசரமாக தேவை. ஒரு பணிக்கு SGD 150 சம்பாதிக்கவும். உடனடி நடவடிக்கை தேவை.,1,ta,job_scam
"现在就拿到750SGD,确认你的详细信息,以避免干扰.",1,zh,loan
Anda dipilih untuk hadiah tunai SGD 750. Akaun anda akan dihentikan.,1,ms,prize
Anda dipilih untuk hadiah tunai SGD 3000.,1,ms,prize
You are selected for a SGD 150 cash prize. Act now.,1,en,prize
Anda dipilih untuk hadiah tunai SGD 300. Jawab sebelum tengah malam.,1,ms,prize
Invest SGD 3000 and double your money in 30 days. Act now.,1,en,investment
அரசாங்கத்தின் அதிகாரப்பூர்வ அறிவிப்புஃ உடனடியாக நடவடிக்கை தேவை. உடனடியாக ஆதரவு தொடர்பு.,1,ta,government_impersonation
மலிவான வாடகை. எஸ்ஜிடி 5000 முன்பதிவு கட்டணத்தை இப்போது முன்பதிவு செய்ய மாற்றவும். உடனடியாக சரிபார்க்கவும்.,1,ta,rental
Unauthorised withdrawal on your POSB account. Immediate action required.,1,en,phishing
டெலிவரி தோல்வியடைந்தது. உங்கள் தொகுப்பை வெளியிட SGD 100 செலுத்தவும். உங்கள் விவரங்களை உறுதிப்படுத்தவும் இடையூறுகளை தவிர்க்க.,1,ta,parcel_delivery
Congratulations! SGD 1000 reward waiting for you. Failure to act will result in permanent closure.,1,en,prize
"您的订单已完成,请支付5000SGD,立即检查.",1,zh,parcel_delivery
வாடகைதாரர் 3000 SGD இன்ஸ்டாகிராம் வழியாக டெபாசிட் தேவை. உடைமைகளை தவிர்க்க உங்கள் விவரங்களை உறுதிப்படுத்தவும்.,1,ta,rental
Your order from overseas is held. Pay SGD 50 to proceed. Respond before midnight.,1,en,parcel_delivery
"Eh donate lah, SGD 300 via Telegram, very easy.",1,singlish,government_impersonation
500 SGD விரைவான கடன் உடனடியாக அங்கீகரிக்கப்பட்டது.,1,ta,loan
"வீட்டில் இருந்து வேலை செய்யும் ஒரு மாசத்திற்கு 2000 SGD சம்பாதித்து, உங்கள் விவரங்களை உறுதிப்படுத்தி, இடையூறுகளை தவிர்க்கவும்.",1,ta,job_scam
Limited stock sale. Transfer SGD 2000 immediately. Do not ignore this message.,1,en,ecommerce
"Good room in Sengkang, SGD 1000 only, transfer now.",1,singlish,phishing
"உரிமம் பெற்ற கடன் வழங்குநர், SGD 250 கடன், குறைந்த வட்டி. இது உங்கள் இறுதி அறிவிப்பு.",1,ta,loan
"Nombor baru, kecemasan keluarga, transfer SGD 5000 melalui Line, hubungi sokongan segera.",1,ms,fake_friend
Package held at customs. SGD 150 clearance fee required. Your access will be revoked.,1,en,parcel_delivery
ஃபிளாஷ் விற்பனை இன்று இரவில் முடிகிறது. SGD 300 செலுத்துங்கள் விலை பூட்டுவதற்கு. இது உங்கள் இறுதி அறிவிப்பு.,1,ta,ecommerce
"Aiya so easy one, survey taker job, earn SGD 500 from home.",1,singlish,job_scam
Earn SGD 750 per hour working from home. Failure to respond will result in legal action.,1,en,job_scam
"Telegram task job, earn SGD 150 per session, very steady.",1,singlish,phishing
Your Citibank card services is blocked. Verify identity to restore. Respond within 24 hours.,1,en,phishing
您的POSB账户暂时被禁用.,1,zh,phishing
கடமைகளில் பஸ்சை வைத்திருத்தல். SGD 100 அனுமதி கட்டணம் தேவை. உங்கள் கணக்கு முடக்கப்படும்.,1,ta,parcel_delivery
புற்றுநோய் நோயாளிக்கு சிகிச்சைக்காக 1000 SGD தேவைப்படுகிறது. உடனடி நடவடிக்கை தேவை.,1,ta,charity
"Your Singpass online banking kena suspended, respond within 24 hours.",1,singlish,investment
"没有回复,将导致法律诉讼.",1,zh,phishing
Slot terhad untuk dana yang berpatutan tinggi. Minimum SGD 100.,1,ms,investment
Fast loan of SGD 1500 approved instantly. Click the link to resolve.,1,en,loan
"Akaun CPF anda telah dibekukan, pastikan maklumat anda untuk mengelakkan gangguan.",1,ms,phishing
உங்கள் POSB கணக்கு தடுக்கப்பட்டுள்ளது. உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,phishing
Part-time content moderator needed urgently. Earn SGD 5000 daily. Immediate action required.,1,en,job_scam
NTUC voucher SGD 750 unclaimed. Collect before it expires. Click the link to resolve.,1,en,prize
"Your Singpass kena placed on hold sia, must verify before midnight.",1,singlish,investment
调查员每天100SGD.不要忽略这个信息.,1,zh,job_scam
"租房,支付1000SGD,确认详细信息,以避免干扰.",1,zh,rental
"Passive income sia, SGD 5000 per per task, just invest.",1,singlish,ecommerce
"PayNow alert leh, new device login detected, confirm identity.",1,singlish,loan
"Aiyoh parcel returned leh, update address, pay SGD 1500.",1,singlish,investment
என் தொலைபேசியை இழந்தேன். தயவுசெய்து SGD 2000 ஐ இந்த புதிய எண்ணுக்கு அனுப்புங்கள். பதிலளிக்காவிட்டால் சட்ட நடவடிக்கைகள் ஏற்படும்.,1,ta,fake_friend
Bantuan media sosial separuh masa diperlukan dengan segera. Dapatkan SGD 50 setiap shift. Balas sebelum tengah malam.,1,ms,job_scam
ஆர்டர் உறுதிப்படுத்தப்பட்டது. பொருட்களை விடுவிக்க SGD 100 வைப்பு செலுத்துங்கள். பதிலளிக்காவிட்டால் சட்ட நடவடிக்கைகள் ஏற்படும்.,1,ta,ecommerce
"现在付出150SGD,需要立即采取行动.",1,zh,government_impersonation
Tiada pengalaman diperlukan. Peserta tinjauan mendapat SGD 250 setiap hari.,1,ms,job_scam
Exclusive investment group. SGD 150 entry. Guaranteed returns. Confirm your details to avoid disruption.,1,en,investment
SGD 1000 தனிப்பட்ட கடன் ஒப்புதல். இப்போது சேகரிக்கவும். தீர்க்க இணைப்பை கிளிக் செய்யவும்.,1,ta,loan
அதிர்ஷ்டசாலி வெற்றியாளர் தேர்ந்தெடுக்கப்பட்டார். SGD 3000 பரிசு பெறுங்கள். உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,prize
Donate SGD 250 to help disaster victims. Respond within 24 hours.,1,en,charity
需要一个兼职的社交媒体助理. 取每班2000SGD. 回答在午夜之前.,1,zh,job_scam
Children's charity drive. Contribute SGD 750 via WeChat. Click the link to resolve.,1,en,charity
"新号码,家庭紧急情况,通过微信转发50SGD,在午夜之前回复.",1,zh,fake_friend
Line task job. Commission SGD 750 per task. This is your final notice.,1,en,job_scam
"Landlord say transfer SGD 200 by tonight, or give to others.",1,singlish,charity
Crypto scheme guarantees SGD 50 returns weekly. Respond before midnight.,1,en,investment
"据悉,你在标准理财公司账户上登录了.",1,zh,bank_impersonation
"食物银行乏,捐赠500SGD帮助家庭.",1,zh,charity
தொகுப்பு அனுப்புநருக்கு திருப்பி அனுப்பப்பட்டது. முகவரியை புதுப்பித்து SGD 50 செலுத்துங்கள். தீர்க்க இணைப்பை கிளிக் செய்யவும்.,1,ta,parcel_delivery
No experience needed. listing assistant earns SGD 150 daily. Contact support immediately.,1,en,job_scam
"Got easy job one, earn SGD 100 per session sia.",1,singlish,loan
"குழந்தைகளுக்கான தொண்டு இயக்கத்திற்கு, SGD 3000 க்கு லைன் மூலம் பங்களிப்பு செய்யுங்கள்.",1,ta,charity
"WhatsApp job sia, do task earn commission, SGD 1500 per task.",1,singlish,job_scam
ஆன்லைன் வேலை கிடைக்கிறது. SGD 2000 ஒரு பணிக்கு உத்தரவாதம். உடனடி நடவடிக்கை தேவை.,1,ta,job_scam
Urgent relief fund. SGD 300 donation needed today. Verify immediately.,1,en,charity
Cheap deal available. Pay SGD 250 now to secure item. This is your final notice.,1,en,ecommerce
Facebook task job. Commission SGD 150 weekly. This is your final notice.,1,en,job_scam
வீட்டில் இருந்து வேலை செய்து வாரத்திற்கு 5000 SGD சம்பாதிக்கவும்.,1,ta,job_scam
"Wah HSBC say got unauthorised transfer, must confirm now.",1,singlish,job_scam
Penjual memerlukan deposit SGD 750 sebelum penghantaran.,1,ms,ecommerce
Your parcel cannot be delivered. Pay SGD 500 fee to reschedule. Respond before midnight.,1,en,parcel_delivery
ஆர்டர் உறுதிப்படுத்தப்பட்டது. பொருட்களை விடுவிக்க SGD 50 வைப்பு செலுத்துங்கள். பதிலளிக்காவிட்டால் சட்ட நடவடிக்கைகள் ஏற்படும்.,1,ta,ecommerce
சுங்கத்தில் பிட் வைத்திருக்கும். SGD 750 அனுமதி கட்டணம் தேவை. இது உங்கள் இறுதி அறிவிப்பு.,1,ta,parcel_delivery
"Aiyoh parcel returned leh, update address, pay SGD 750.",1,singlish,charity
Wah Standard Chartered send notice say your internet banking blocked already.,1,singlish,bank_impersonation
"குழந்தைகளுக்கான தொண்டு இயக்கத்திற்கு, SGD 3000 க்கு Line வழியாக பங்களிப்பு செய்யுங்கள். செயற்படாதது நிரந்தரமாக மூடப்படும்.",1,ta,charity
"Nombor baru, kecemasan keluarga, pemindahan SGD 3000 melalui Facebook, kegagalan untuk bertindak balas akan mengakibatkan tindakan undang-undang.",1,ms,fake_friend
MOM அறிவிப்புஃ உங்கள் பணி அனுமதி நிலை மதிப்பாய்வு செய்யப்படுகிறது. தீர்க்க இணைப்பை கிளிக் செய்யவும்.,1,ta,government_impersonation
குழந்தைகளுக்கான தொண்டு இயக்கத்திற்கு சிக்னல் மூலம் SGD 150 பங்களிப்பு செய்யுங்கள். தண்டனை தவிர்க்க இப்போது பதிலளிக்கவும்.,1,ta,charity
2000 SGD தனிப்பட்ட கடன் ஒப்புதல். இப்போது சேகரிக்க. நள்ளிரவுக்கு முன் பதில்.,1,ta,loan
房东需要通过线上存款100SGD.,1,zh,rental
"Oi Telegram has new part-time job, SGD 300 per shift, easy.",1,singlish,bank_impersonation
Bayar SGD 3000 sekarang untuk mengamankan item. Klik pautan untuk menyelesaikan.,1,ms,ecommerce
ஆன்லைன் வேலை கிடைக்கிறது. SGD 750 வாராந்திர பணம் உத்தரவாதம். உடனடியாக சரிபார்க்கவும்.,1,ta,job_scam
房东需要通过电报存款3000SGD.,1,zh,rental
"Lucky draw win SGD 100 sia, claim now lah.",1,singlish,loan
"现在付750SGD,以确保物品安全.",1,zh,ecommerce
தொகுப்பு அனுப்புநருக்கு திருப்பி அனுப்பப்பட்டது. முகவரியை புதுப்பித்து SGD 250 செலுத்துங்கள். இந்த செய்தியை புறக்கணிக்க வேண்டாம்.,1,ta,parcel_delivery
"你的梅银行账户已被暂停,你的访问将被取消.",1,zh,phishing
"Eh donate lah, SGD 50 via Signal, very easy.",1,singlish,fake_friend
"Your SGD 500 reward unclaimed leh, click to receive.",1,singlish,prize
Licensed moneylender. SGD 150 loan. Low interest. Failure to respond will result in legal action.,1,en,loan
"Aiya don't waste lah, SGD 3000 prize, just click.",1,singlish,fake_friend
",这是我,留在海外,请发送100SGD.这是最后的通知.",1,zh,fake_friend
"Hai, saya tukar nombor, saya, transfer SGD 300 segera.",1,ms,fake_friend
NTUC வவுச்சர் SGD 500 கோரப்படாதது. அது காலாவதியாகும் முன் சேகரிக்க. 24 மணி நேரத்திற்குள் பதிலளிக்கவும்.,1,ta,prize
அதிக வருமானம் பெறும் நிதிகளுக்கு குறைந்தபட்சம் 150 SGD. பதில் அளிக்காவிட்டால் சட்ட நடவடிக்கைகள் எடுக்கப்படும்.,1,ta,investment
"您的订单从海外保留,支付SGD750继续.",1,zh,parcel_delivery
Your Maybank e-wallet requires re-verification. Your access will be revoked.,1,en,bank_impersonation
உங்கள் மேபேங்க் டெபிட் கார்டு மறு சரிபார்ப்பு தேவை. உங்கள் அணுகல் திரும்பப் பெறப்படும்.,1,ta,bank_impersonation
ஆன்லைன் வேலை கிடைக்கிறது. SGD 150 வாராந்திர உத்தரவாதம். உங்கள் விவரங்களை உறுதிப்படுத்தல் இடையூறு தவிர்க்க.,1,ta,job_scam
Transaksi yang tidak dibenarkan di akaun OCBC anda.,1,ms,phishing
